4,1957,1
12,4269,1
28,3391,1
38,3165,1
40,1771,1
44,2701,1
51,4165,1
55,2980,1
69,4289,1
74,1405,1
75,2377,1
79,4127,1
83,1110,1
85,2623,1
86,4995,1
87,3965,1
89,3701,1
97,3464,1
106,398,1
110,1867,1
112,1231,1
117,2967,1
121,1503,1
123,4161,1
130,245,1
138,1480,1
157,4051,1
163,545,1
164,3074,1
170,3286,1
173,1169,1
177,3880,1
178,1570,1
182,4300,1
190,2965,1
201,1481,1
209,1470,1
210,610,1
221,1493,1
226,480,1
230,885,1
243,2541,1
249,3018,1
253,4728,1
260,2157,1
272,4652,1
273,2659,1
283,1914,1
284,2919,1
299,2086,1
300,1068,1
303,2281,1
305,4603,1
308,2807,1
317,4940,1
323,2489,1
328,4882,1
332,2931,1
346,3481,1
350,1706,1
359,4371,1
363,1924,1
366,2487,1
373,2441,1
380,674,1
385,902,1
391,1447,1
402,2152,1
419,2112,1
420,4139,1
422,3003,1
427,3430,1
430,796,1
438,4535,1
441,4326,1
447,1302,1
456,1434,1
460,4743,1
462,2983,1
467,4826,1
475,4516,1
479,4703,1
484,3716,1
486,2044,1
492,1798,1
493,2936,1
495,3490,1
498,2457,1
501,3371,1
528,1124,1
530,2024,1
532,2254,1
536,2935,1
540,4932,1
547,1656,1
552,890,1
557,3278,1
565,3708,1
568,884,1
571,4835,1
573,4800,1
581,4056,1
582,4610,1
590,979,1
592,930,1
593,4734,1
594,2885,1
600,1072,1
602,4804,1
604,2033,1
607,3796,1
609,1358,1
617,3093,1
619,4235,1
624,2882,1
634,3624,1
635,657,1
643,2118,1
646,1114,1
649,1922,1
650,4234,1
659,2903,1
664,1183,1
670,3841,1
678,723,1
680,4044,1
688,2814,1
690,2124,1
705,764,1
708,2472,1
709,4578,1
720,4871,1
722,752,1
730,4619,1
739,2185,1
740,2171,1
751,4702,1
754,2322,1
758,2492,1
765,3639,1
788,2751,1
793,4078,1
817,3259,1
822,3180,1
825,1536,1
826,1120,1
829,4956,1
831,2230,1
832,4665,1
835,1460,1
854,4760,1
876,1257,1
881,886,1
882,3126,1
888,3419,1
893,2240,1
897,1927,1
908,1444,1
921,2027,1
924,2248,1
929,3656,1
936,986,1
937,4886,1
940,1471,1
946,3174,1
952,2339,1
955,3723,1
958,2187,1
962,3678,1
965,3394,1
973,1517,1
989,1595,1
994,1355,1
995,4451,1
997,2018,1
1004,1484,1
1013,3342,1
1020,4933,1
1022,4548,1
1025,4976,1
1027,3329,1
1035,1597,1
1040,1371,1
1047,4838,1
1056,2763,1
1061,4443,1
1071,2514,1
1074,4136,1
1087,1655,1
